Title,Country,Date,Time,Impact,Forecast,Previous,URL
German Final CPI m/m,EUR,2010-01-14,07:00,Low,0.7%,0.7%,https://www.forexfactory.com/calendar?day=jan14.2010
Industrial Production m/m,EUR,2010-01-14,10:00,Medium,0.6%,-0.3%,https://www.forexfactory.com/calendar?day=jan14.2010
Main Refinancing Rate,EUR,2010-01-14,12:45,High,1.00%,1.00%,https://www.forexfactory.com/calendar?day=jan14.2010
ECB Press Conference,EUR,2010-01-14,13:30,High,,,https://www.forexfactory.com/calendar?day=jan14.2010
Core Retail Sales m/m,USD,2010-01-14,,High,0.3%,1.9%,https://www.forexfactory.com/calendar?day=jan14.2010
Retail Sales m/m,USD,2010-01-14,,High,0.4%,1.8%,https://www.forexfactory.com/calendar?day=jan14.2010
Unemployment Claims,USD,2010-01-14,,High,438K,433K,https://www.forexfactory.com/calendar?day=jan14.2010
Import Prices m/m,USD,2010-01-14,,Medium,-0.1%,1.6%,https://www.forexfactory.com/calendar?day=jan14.2010
Business Inventories m/m,USD,2010-01-14,15:00,Medium,0.1%,0.4%,https://www.forexfactory.com/calendar?day=jan14.2010
Natural Gas Storage,USD,2010-01-14,15:30,Low,-255B,-153B,https://www.forexfactory.com/calendar?day=jan14.2010
30-y Bond Auction,USD,2010-01-14,18:00,Low,,4.52|2.4,https://www.forexfactory.com/calendar?day=jan14.2010
Foreign Direct Investment ytd/y,CNY,2010-01-15,02:29,Low,,-9.9%,https://www.forexfactory.com/calendar?day=jan14.2010
German WPI m/m,EUR,2010-01-15,07:00,Low,0.5%,0.7%,https://www.forexfactory.com/calendar?day=jan15.2010
New Loans,CNY,2010-01-15,08:09,Medium,,295B,https://www.forexfactory.com/calendar?day=jan15.2010
M2 Money Supply y/y,CNY,2010-01-15,,Low,28.3%,29.7%,https://www.forexfactory.com/calendar?day=jan15.2010
PPI m/m,CHF,2010-01-15,08:15,Medium,0.2%,0.0%,https://www.forexfactory.com/calendar?day=jan15.2010
Final Core CPI y/y,EUR,2010-01-15,10:00,Medium,1.0%,1.0%,https://www.forexfactory.com/calendar?day=jan15.2010
Final CPI y/y,EUR,2010-01-15,,Medium,0.9%,0.9%,https://www.forexfactory.com/calendar?day=jan15.2010
Trade Balance,EUR,2010-01-15,,Low,5.4B,4.7B,https://www.forexfactory.com/calendar?day=jan15.2010
CB Leading Index m/m,GBP,2010-01-15,,Low,,1.1%,https://www.forexfactory.com/calendar?day=jan15.2010
New Motor Vehicle Sales m/m,CAD,2010-01-15,13:30,Low,-6.3%,3.4%,https://www.forexfactory.com/calendar?day=jan15.2010
Core CPI m/m,USD,2010-01-15,,High,0.1%,0.0%,https://www.forexfactory.com/calendar?day=jan15.2010
CPI y/y,USD,2010-01-15,,High,2.8%,1.8%,https://www.forexfactory.com/calendar?day=jan15.2010
CPI m/m,USD,2010-01-15,,Medium,0.2%,0.4%,https://www.forexfactory.com/calendar?day=jan15.2010
Empire State Manufacturing Index,USD,2010-01-15,,Medium,11.2,2.6,https://www.forexfactory.com/calendar?day=jan15.2010
Capacity Utilization Rate,USD,2010-01-15,14:15,Medium,71.9%,71.5%,https://www.forexfactory.com/calendar?day=jan15.2010
Industrial Production m/m,USD,2010-01-15,,Medium,0.7%,0.6%,https://www.forexfactory.com/calendar?day=jan15.2010
Prelim UoM Consumer Sentiment,USD,2010-01-15,14:55,High,73.8,72.5,https://www.forexfactory.com/calendar?day=jan15.2010
Prelim UoM Inflation Expectations,USD,2010-01-15,,Low,,2.5%,https://www.forexfactory.com/calendar?day=jan15.2010
REINZ HPI m/m,NZD,2010-01-17,21:00,Medium,,0.2%,https://www.forexfactory.com/calendar?day=jan17.2010
MI Inflation Gauge m/m,AUD,2010-01-17,23:30,Low,,0.3%,https://www.forexfactory.com/calendar?day=jan17.2010
Rightmove HPI m/m,GBP,2010-01-18,00:01,Medium,,-2.2%,https://www.forexfactory.com/calendar?day=jan17.2010
BOJ Gov Shirakawa Speaks,JPY,2010-01-18,00:30,Medium,,,https://www.forexfactory.com/calendar?day=jan17.2010
Revised Industrial Production m/m,JPY,2010-01-18,04:30,Low,2.6%,2.6%,https://www.forexfactory.com/calendar?day=jan18.2010
Italian Trade Balance,EUR,2010-01-18,09:00,Low,-0.73B,-0.73B,https://www.forexfactory.com/calendar?day=jan18.2010
Eurogroup Meetings,EUR,2010-01-18,All Day,Medium,,,https://www.forexfactory.com/calendar?day=jan18.2010
German Buba Monthly Report,EUR,2010-01-18,11:00,Low,,,https://www.forexfactory.com/calendar?day=jan18.2010
Bank Holiday,USD,2010-01-18,All Day,Low,,,https://www.forexfactory.com/calendar?day=jan18.2010
Foreign Securities Purchases,CAD,2010-01-18,13:30,Medium,5.23B,5.95B,https://www.forexfactory.com/calendar?day=jan18.2010
Consumer Confidence,JPY,2010-01-19,05:00,Low,40.3,39.5,https://www.forexfactory.com/calendar?day=jan19.2010
ECOFIN Meetings,EUR,2010-01-19,All Day,Medium,,,https://www.forexfactory.com/calendar?day=jan19.2010
CPI y/y,GBP,2010-01-19,09:30,High,2.6%,1.9%,https://www.forexfactory.com/calendar?day=jan19.2010
Core CPI y/y,GBP,2010-01-19,,Medium,2.3%,1.9%,https://www.forexfactory.com/calendar?day=jan19.2010
RPI y/y,GBP,2010-01-19,,Low,2.1%,0.3%,https://www.forexfactory.com/calendar?day=jan19.2010
German ZEW Economic Sentiment,EUR,2010-01-19,10:00,High,49.8,50.4,https://www.forexfactory.com/calendar?day=jan19.2010
ZEW Economic Sentiment,EUR,2010-01-19,,Medium,48.2,48.0,https://www.forexfactory.com/calendar?day=jan19.2010
Leading Index m/m,CAD,2010-01-19,13:30,Medium,1.1%,1.3%,https://www.forexfactory.com/calendar?day=jan19.2010
BOC Rate Statement,CAD,2010-01-19,14:00,High,,,https://www.forexfactory.com/calendar?day=jan19.2010
Overnight Rate,CAD,2010-01-19,,High,0.25%,0.25%,https://www.forexfactory.com/calendar?day=jan19.2010
TIC Long-Term Purchases,USD,2010-01-19,,High,30.3B,19.3B,https://www.forexfactory.com/calendar?day=jan19.2010
NAHB Housing Market Index,USD,2010-01-19,18:00,Low,17,16,https://www.forexfactory.com/calendar?day=jan19.2010
BOE Gov King Speaks,GBP,2010-01-19,19:00,High,,,https://www.forexfactory.com/calendar?day=jan19.2010
CPI q/q,NZD,2010-01-19,21:45,High,0.0%,1.3%,https://www.forexfactory.com/calendar?day=jan19.2010
FPI m/m,NZD,2010-01-19,,Low,,-0.3%,https://www.forexfactory.com/calendar?day=jan19.2010
Westpac Consumer Sentiment,AUD,2010-01-19,23:30,Medium,,-3.8%,https://www.forexfactory.com/calendar?day=jan19.2010
Tertiary Industry Activity m/m,JPY,2010-01-19,23:50,Medium,-0.1%,0.4%,https://www.forexfactory.com/calendar?day=jan19.2010
German PPI m/m,EUR,2010-01-20,07:00,Medium,0.2%,0.1%,https://www.forexfactory.com/calendar?day=jan20.2010
Claimant Count Change,GBP,2010-01-20,09:30,High,-3.3K,-10.8K,https://www.forexfactory.com/calendar?day=jan20.2010
MPC Asset Purchase Facility Votes,GBP,2010-01-20,,High,0-0-9,0-0-9,https://www.forexfactory.com/calendar?day=jan20.2010
MPC Official Bank Rate Votes,GBP,2010-01-20,,High,0-0-9,0-0-9,https://www.forexfactory.com/calendar?day=jan20.2010
Average Earnings Index 3m/y,GBP,2010-01-20,,Medium,1.6%,1.5%,https://www.forexfactory.com/calendar?day=jan20.2010
Unemployment Rate,GBP,2010-01-20,,Low,8.0%,7.9%,https://www.forexfactory.com/calendar?day=jan20.2010
Core CPI m/m,CAD,2010-01-20,12:00,High,-0.2%,0.4%,https://www.forexfactory.com/calendar?day=jan20.2010
CPI m/m,CAD,2010-01-20,,Medium,-0.1%,0.5%,https://www.forexfactory.com/calendar?day=jan20.2010
Manufacturing Sales m/m,CAD,2010-01-20,13:30,Medium,1.6%,2.1%,https://www.forexfactory.com/calendar?day=jan20.2010
Building Permits,USD,2010-01-20,,High,0.59M,0.59M,https://www.forexfactory.com/calendar?day=jan20.2010
PPI m/m,USD,2010-01-20,,High,0.1%,1.8%,https://www.forexfactory.com/calendar?day=jan20.2010
Core PPI m/m,USD,2010-01-20,,Medium,0.1%,0.5%,https://www.forexfactory.com/calendar?day=jan20.2010
Housing Starts,USD,2010-01-20,,Medium,0.58M,0.58M,https://www.forexfactory.com/calendar?day=jan20.2010
FOMC Member Dudley Speaks,USD,2010-01-20,,Low,,,https://www.forexfactory.com/calendar?day=jan20.2010
MPC Member Posen Speaks,GBP,2010-01-20,15:30,Medium,,,https://www.forexfactory.com/calendar?day=jan20.2010
BusinessNZ Manufacturing Index,NZD,2010-01-20,21:34,Low,,51.9,https://www.forexfactory.com/calendar?day=jan20.2010
Core Retail Sales m/m,NZD,2010-01-20,21:45,High,0.3%,0.5%,https://www.forexfactory.com/calendar?day=jan20.2010
Retail Sales m/m,NZD,2010-01-20,,Medium,0.6%,0.1%,https://www.forexfactory.com/calendar?day=jan20.2010
MI Inflation Expectations,AUD,2010-01-21,00:00,Medium,,3.6%,https://www.forexfactory.com/calendar?day=jan20.2010
New Motor Vehicle Sales m/m,AUD,2010-01-21,00:30,Medium,,5.9%,https://www.forexfactory.com/calendar?day=jan20.2010
GDP q/y,CNY,2010-01-21,02:00,High,10.7%,9.1%,https://www.forexfactory.com/calendar?day=jan20.2010
Industrial Production y/y,CNY,2010-01-20,,High,19.8%,19.2%,https://www.forexfactory.com/calendar?day=jan20.2010
CPI y/y,CNY,2010-01-20,,Medium,1.5%,0.6%,https://www.forexfactory.com/calendar?day=jan20.2010
Fixed Asset Investment ytd/y,CNY,2010-01-20,,Medium,31.5%,32.1%,https://www.forexfactory.com/calendar?day=jan20.2010
NBS Press Conference,CNY,2010-01-20,,Medium,,,https://www.forexfactory.com/calendar?day=jan20.2010
PPI y/y,CNY,2010-01-20,,Medium,0.7%,-2.1%,https://www.forexfactory.com/calendar?day=jan20.2010
Retail Sales y/y,CNY,2010-01-20,,Low,16.4%,15.8%,https://www.forexfactory.com/calendar?day=jan20.2010
